date,description,amount
2025-10-01 11:47,Subway sandwich,8.98
2025-10-02 08:01,CVS pharmacy,26.81
2025-10-03 13:45,Metro card,33.01
2025-10-04 07:48,Metro card,31.39
2025-10-04 08:46,Apple music,10.99
2025-10-04 15:09,Microsoft 365,9.99
2025-10-04 19:06,Shell gas station,47.04
2025-10-05 09:02,Home depot,99.28
2025-10-05 14:55,Planet fitness,10.0
2025-10-05 16:53,Nike store,67.09
2025-10-05 18:10,Subway sandwich,9.81
2025-10-06 09:38,Disney plus,13.99
2025-10-06 14:43,Cashback reward,18.76
2025-10-06 19:17,Costco,99.61
2025-10-07 08:51,Venmo transfer,38.32
2025-10-07 17:13,Shell gas station,46.32
2025-10-07 21:09,Dental clinic,186.16
2025-10-08 11:32,Home depot,56.32
2025-10-08 11:40,Walmart groceries,105.14
2025-10-08 20:57,Grubhub order,39.86
2025-10-09 07:43,Zara clothing,107.62
2025-10-09 19:24,Rent payment,1100.0
2025-10-10 17:07,Planet fitness,10.0
2025-10-11 12:34,Costco,98.34
2025-10-11 15:32,AMC theaters,14.03
2025-10-11 16:53,Adobe creative,54.99
2025-10-12 18:56,Zara clothing,61.75
2025-10-13 09:05,Lyft ride,23.17
2025-10-13 11:08,Dropbox,11.99
2025-10-13 20:13,Walgreens prescription,26.63
2025-10-14 14:04,PayPal transfer,40.13
2025-10-14 18:28,Dental clinic,199.42
2025-10-15 08:55,Starbucks coffee,6.73
2025-10-15 14:00,Grubhub order,33.06
2025-10-15 22:13,Metro card,31.19
2025-10-16 20:22,Spotify premium,9.99
2025-10-16 22:51,Dental clinic,109.16
2025-10-17 09:28,Lyft ride,23.12
2025-10-17 10:03,Netflix subscription,15.99
2025-10-17 10:15,Apple music,10.99
2025-10-17 20:11,Grubhub order,37.87
2025-10-18 09:59,Grubhub order,46.39
2025-10-19 19:16,Dunkin donuts,4.01
2025-10-19 19:57,Uber eats delivery,34.63
2025-10-20 08:47,Dominos pizza,31.56
2025-10-20 09:38,Paycheck direct deposit,2370.27
2025-10-20 12:03,Uber trip,21.35
2025-10-20 22:09,Parking garage,19.49
2025-10-21 14:37,Walgreens prescription,30.09
2025-10-22 17:59,Nike store,119.16
2025-10-23 09:00,Subway sandwich,9.83
2025-10-23 13:32,Spotify premium,9.99
2025-10-23 15:25,Parking garage,11.77
2025-10-24 14:23,Panera bread,15.4
2025-10-24 16:39,BP fuel,56.67
2025-10-24 16:59,Cashback reward,15.58
2025-10-25 10:47,Paycheck direct deposit,2252.89
2025-10-26 15:57,Planet fitness,10.0
2025-10-26 17:13,Metro card,31.05
2025-10-27 08:00,Dunkin donuts,6.49
2025-10-28 08:53,Cashback reward,23.08
2025-10-28 10:04,Youtube premium,13.99
2025-10-28 12:47,Microsoft 365,9.99
2025-10-29 08:19,Amazon purchase,65.83
2025-10-29 13:43,Netflix subscription,15.99
2025-10-29 20:39,Uber trip,17.66
2025-10-30 12:56,Paycheck direct deposit,2372.92
